Feature,Importance
num__close_roll_mean_21,140.6926012689467
num__current_close,98.13441471178857
num__Close,98.13441471169943
num__Adj Close,98.13441471169104
num__Low,81.97954073507968
num__High,65.76156226379389
num__close_lag_5,62.021560168768936
num__close_roll_mean_63,36.99394154408778
num__close_lag_3,33.33802361931642
num__close_lag_10,33.03952046131476
num__close_roll_mean_5,28.643912208165567
num__close_lag_1,23.99112855448343
num__close_lag_21,22.776177700337133
num__volume_roll_mean_63,20.100572084483744
num__close_roll_std_63,19.107106569907476
